,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
Monday,,,,,LE3E4(18B11EC214) -123/ABK,,,
Monday,,,PF6(22B15HS211)-CR10/AB,,,TF8(15B11HS211) -229 /AA,PF3(22B15HS211)-HSS LAB/SHWETA,
Monday,,PE3(22B15HS211)-HSS LAB/GAURIKA,,,,,TF6(15B11HS211) -126/AA,
Monday,LE3E4(15B11EC211) -123 /YOGESH,"PF4F7(15B17CI371 ) -CL4 / ABS,MKS,ARM",,,,LF3F4(15B11EC211) - 148/ABHIJEET,PE3-(18B15EC214)-134/BS,
Monday,LF1F2(15B11CI212)-148/ARJ,LF1F2(15B11EC211) -148 /JMN,PE1-(18B15EC214)-134/BS,,,LE5(15B11MA301)-153/KKS,PE4-(18B15EC215)-224/ABHAY,
Monday,LF5F6(15B11CI212)-256/ MKG,LE5(18B11EC214) -153/ABK,PE2-(18B15EC215)-224/ABHIJEET,,,LF1F2(15B11HS211) -256/SKVA,PE2-(18B15EC214)-142/KDT,
Monday,LF7F8F9(15B11CI312)-153/LTM,"LE1E2(15B11MA301) -217
/PINKEY",TF3(15B11CI212) -126/BDJ,LF7F8(15B11EC211) - 256/VG,,PF5(15B17CI371 ) -CL4/ SQM,,TF1(15B11CI312) -113/SGU
Monday,,LF5F6(15B11CI311)-123/VSG,PF1F2(15B17CI372) - CL2/ SGU/LTM,,,,PF2(15B17EC271)-130/VKT,
Monday,,TF9(15B11EC211) -121 /VIMAL,TF5(15B11CI311) -121/SKM,LE5(15B11EC211) -153 /ATUL,,,LF7F8F9(15B11CI311)-153/MKS,TF4(15B11CI311) -121/NRJ
Monday,,,LE5(15B11HS211) -153/PRAVEEN,TF9(15B11CI212) -121/ARJ,,TF6(15B11EC211) - 126/ATUL,TE5(15B11MA301) - 123/PINKEY,TF6(15B11CI212) -148/MKG
Monday,,PF8(15B17EC271)-130/RAGHVENDRA,,TF5(15B11CI212) -126/MKG,,TF7(15B11EC211) -121 /VG,,TF9(15B11CI312) -153/ADITI
Monday,,,,,,TE3(18B11EC214) -113/SVS,TF1(15B11EC211) - 113/JMN,TE1(15B11EC211) - 123/SK
Monday,,,,,,,TF4(15B11HS211) -127/PRAVEEN,TE5(15B11HS211) -126/PRAVEEN
Monday,,,,,,,,
Tuesday,,,,,LE1E2(15B11EC211) -257 /SK,,,
Tuesday,,TE2(18B11EC215) -113/BHC,TF5(15B11EC211) - 126/ATUL,TE4(18B11EC214) -113/ABK,,,PF8(22B15HS211)-CR10/PRAVEEN,
Tuesday,PE1(15B17EC271)-130/ABHIJEET,,PF3(15B17EC271)-130/BAJRANG,,,LF3F4(15B11EC211) -217 /ABHIJEET,PF4(15B17EC271)-130/YOGESH,
Tuesday,PE5-(18B15EC214)-134/MAG,,,,,LF5F6(15B11EC211) -153 /ATUL,,
Tuesday,,,"LE3E4(15B11EC211) -123
/YOGESH",LE5(15B11MA301)-148/KKS,,PF2(15B17CI371 ) -CL4/ SKM,,TF1(15B11CI212) -126/ARJ
Tuesday,PE4-(18B15EC214)-142/BS,,LE5(18B11EC215) -148/PK,LF1F2(15B11HS211) -217/SKVA,,LF7F8F9(15B11CI312)-259/LTM,LE1E2(18B11EC214) -257/SVS,TE2(15B11HS211) -113 /AA
Tuesday,LF9(15B11EC211) - 123/VG,,LF1F2(15B11CI311)-SR05/KSA,LF7F8(15B11EC211) - 153/VG,,LE3E4(15B11MA301)-148/LKK,LE3E4(18B11EC215) -148/PK,TE4(18B11EC215) -121/PK
Tuesday,,LF7F8F9(15B11CI212)-153/HMA,LE1E2(15B11MA301) -244 B/PINKEY,"TE1(15B11MA301) -225
/SARFARAZ",,TE1(18B11EC215) -126/BHC,LF5F6(15B11CI312)- 153/ADITI,
Tuesday,,LF5F6(15B11HS211) -148/AA,LF7F8F9(15B11CI311)-153/MKS,,,,LF3F4(15B11CI311)-217/NRJ,TF9(15B11CI311) -148/SQM
Tuesday,,TE3(15B1HS211)-126/SKVA,,TF5(15B11HS211) -121/AA,,LE5(19B13BT211)-123/RAJ,,TF3(15B11EC211) -  244/ABHIJEET
Tuesday,,TF2(15B11EC211) -121 /JMN,PF4(22B15HS211)-HSS LAB/PRAVEEN,,,,PF7(22B15HS211)-123/SHWETA,
Tuesday,PF1(15B17CI371 ) -CL4/ ABS,,,,,,,TE5(18B11EC214) -123/ABK
Tuesday,,,,,,,,
Wednesday,,,,,,,,
Wednesday,,,,,,,TF2(15B1HS211)-121/SKVA,
Wednesday,,,PF5(15B17EC271)-130/BAJRANG,,,LE5(18B11EC214) -217/ABK,PF7(15B17EC271)-130/VKT,
Wednesday,LE515B11EC211) - 123/ATUL,LF1F2(15B11EC211) - 148/JMN,"PF3F7(15B17CI371 ) -CL4/ VSG,ABS,SKM",,,PF9(15B17CI371 ) - MML LAB/ VSG,,TE3(15B11EC211) -SR05 /YOGESH
Wednesday,LF3F4(15B11HS211) -153/PRAVEEN,LE1E2(18B11EC214) -123/SVS,"PF4F6(15B17CI372) - CL2/ ADITI,LTM",,,PF8(15B17CI372) - CL2/ SGU,,TF3(15B11CI311) -126/NRJ
Wednesday,LF5F6(15B11CI312)-256 /ADITI,LE3E4(15B11MA301)-153/LKK,LE1E2(18B11EC215) -230/BHC,TE1(18B11EC214) -126/SVS,,PF5(15B17CI372) - CL2//LTM,,
Wednesday,TE4(15B11EC211) - 121/YOGESH,LF7F8F9(15B11CI212)-257/HMA,LE3E4(18B11EC215) -153/PK,LF9(15B11EC211) - 123/VG,,LE3E4(15B11HS211) -153/SKVA,LE3E4(15B11EC211) - 217/YOGESH,TE2(18B11EC214) -117/SVS
