,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
MON, ,,,,LE3E4(18B11EC214) -123/ABK,,,
MON,,,PF6(22B15HS211)-CR10/AB,,,TF8(15B11HS211) -229 /AA,PF3(22B15HS211)-HSS LAB/SHWETA,
MON,,PE3(22B15HS211)-HSS LAB/GAURIKA,,,,,,
MON,LE3E4(15B11EC211) -123 /YOGESH,PF7(15B17CI371 ) -MML LAB/ ABS,,,,LF3F4(15B11EC211) - 148/ABHIJEET,PE3-(18B15EC214)-134/BS,
MON,LF1F2(15B11CI212)-148/ARJ,LF1F2(15B11EC211) -148 /JMN,PE1-(18B15EC214)-134/BS,,,LE5E6(15B11MA301)-153/KKS,PE4-(18B15EC215)-224/ABHAY,
MON,LF5F6(15B11CI212)-256/ MKG,LE5E6(18B11EC214) -153/ABK,PE2-(18B15EC215)-224/ABHIJEET,,,LF1F2(15B11HS211) -256/SKVA,PE2-(18B15EC214)-142/KDT,
MON,LF7F8F9(18B11CS211)-153/LTM,LE1E2(15B11MA301) -217/NEHA,,,,PF5(15B17CI371 ) -CL4/ SQM,,TF1(15B11CI312) -113/SGU
MON,,,PF1(15B17CI372) - CL2/ SGU,,,,PF2(15B17EC271)-130/VKT,
MON,,PF4(15B17CI371 ) - CL4/ MKS,,LE5E6(15B11EC211) -153 /ATUL,,,LF7F8F9(15B11CI311)-153/MKS,TF4(15B11CI311) -121/NRJ
MON,,TF9(15B11EC211) -121 /VIMAL,"LE5E6(15B11HS211) -153
/PRAVEEN",TF9(15B11CI212) -121/ARJ,,TF6(15B11EC211) - 126/ATUL,TE5(15B11MA301) - 126/LKK,TF6(15B11CI212) -148/MKG
MON,,LF5F6(15B11CI311)-123/VSG,TF3(15B11CI212) -126/BDJ,LF7F8(15B11EC211) - 256/VG,,TF7(15B11EC211) -121 /VG,TE6(15B11MA301) - 121/SARFARAZ,TF9(15B11CI212) -153/ADITI
MON,,,PF2(15B17CI372) - CL2/ LTM,,,TE3(18B11EC214) -113/SVS,TF1(15B11EC211) - 113/JMN,TE1(15B11EC211) - 123/SK
MON,,,TF5(15B11CI311) -121/SKM,TF5(15B11CI212) -126/MKG,,,TF4(15B11HS211) -SR05/PRAVEEN,TE5(15B11HS211) -SR05/PRAVEEN
MON,,,,,,,,
MON,,,,,,,,
TUES,,,,,LE1E2(15B11EC211) -257 /SK,,,
TUES,,TE2(18B11EC215) -123/BHC,TF5(15B11EC211) - 126/ATUL,TE4(18B11EC214) -113/ABK,,,PF8(22B15HS211)-CR10/PRAVEEN,
TUES,PE1(15B17EC271)-130/ABHIJEET,,PF3(15B17EC271)-130/BAJRANG,,,LF3F4(15B11EC211) -217 /ABHIJEET,PF4(15B17EC271)-130/ASHISHG,
TUES,PE5-(18B15EC214)-134/MAG,,,,,LF5F6(15B11EC211) -153 /ATUL,PE6-(18B15EC214)-134/BS,
TUES,PE6-(18B15EC215)-224/HEMANT,,"LE3E4(15B11EC211) -123
/YOGESH",LE5E6(15B11MA301)-148/KKS,,PF2(15B17CI371 ) -CL4/ SKM,,TF1(15B11CI212) -126/ARJ
TUES,PE4-(18B15EC214)-142/BS,,LE5E6(18B11EC215) -148/PK,LF1F2(15B11HS211) -217/SKVA,,LF7F8F9(18B11CS211)-259/LTM,LE1E2(18B11EC214) -257/SVS,TE2(15B11HS211) -113 /AA
TUES,LF9(15B11EC211) - 123/VG,,LF1F2(15B11CI311)-SR05/KSA,LF7F8(15B11EC211) - 153/VG,,"LE3E4(15B11MA301)-148
/LKK/SARFARAZ",LE3E4(18B11EC215) -148/PK,TE4(18B11EC215) -121/PK
